"","6.15.21-CSD-2","6.15.21-CSD-2 +  6.28.2021-CSD-18","6.16,17.21-CSA-1","6.16.21-CSC-2","6.16.21-CSC-4","6.16.21-CSJ-2","6.17.2021-CSD-4","6.17.21-CSA-1","6.17.21-CSA-3","6.27.22-CSD-3","6.28.2021-CSD-15","6.28.2021-CSD-16","6.28.2021-CSD-17","6.28.2021-CSD-21","6.28.2021-CSD-23","6.28.2021-CSD-9","6.28.21-CSC-2","6.28.22-CSD-1","6.29.22-CSD-10","6.29.22-CSD-4","7.2.2021-CSA-22","7.5.21-CSJ-1","CLST_1","CLST_10","CLST_L10","CLST_L11","CLST_L13","CLST_L14","CLST_L2","CLST_L3","CLST_L4","CLST_L8","CLST_L9","Susan2010to2012"
"6.28.2021-CSD-15",0.75,0.714285714285714,0.841269841269841,0.68,0.911111111111111,0.923076923076923,0.818181818181818,0.733333333333333,0.84,0.864661654135338,0,0.739130434782609,0.95,0.847619047619048,0.714285714285714,0.714285714285714,1,0.942196531791908,0.771428571428571,1,1,1,1,0.619047619047619,1,1,0.619047619047619,1,0.857142857142857,1,1,0.88235294117647,0.7,0.875
"6.28.2021-CSD-16",0.707317073170732,0.833333333333333,0.84251968503937,0.647058823529412,0.652173913043478,0.811320754716981,0.777777777777778,0.782608695652174,0.923076923076923,0.865671641791045,0.739130434782609,0,0.753086419753086,0.830188679245283,0.777777777777778,0.545454545454545,0.846153846153846,0.896551724137931,0.888888888888889,0.836734693877551,1,1,1,0.727272727272727,1,1,0.454545454545455,1,0.733333333333333,0.6,0.846153846153846,0.666666666666667,0.80952380952381,1
"6.28.2021-CSD-17",0.775510204081633,0.78494623655914,0.554347826086957,0.574074074074074,0.436893203883495,0.672727272727273,0.745098039215686,0.70873786407767,0.831325301204819,0.549738219895288,0.95,0.753086419753086,0,0.595092024539877,0.720430107526882,0.848101265822785,0.971428571428571,0.558441558441558,0.763440860215054,0.830188679245283,0.971428571428571,1,0.916666666666667,0.822784810126582,0.971428571428571,1,0.79746835443038,1,0.944444444444444,0.916666666666667,0.971428571428571,0.866666666666667,0.897435897435897,0.864864864864865
"6.28.2021-CSD-21",0.577235772357724,0.779661016949153,0.559808612440191,0.56390977443609,0.609375,0.659259259259259,0.748031496062992,0.578125,0.777777777777778,0.361111111111111,0.847619047619048,0.830188679245283,0.595092024539877,0,0.677966101694915,0.807692307692308,0.978947368421053,0.65625,0.76271186440678,0.786259541984733,0.978947368421053,0.961538461538462,0.958762886597938,0.884615384615385,0.978947368421053,0.938144329896907,0.826923076923077,0.978947368421053,0.938144329896907,0.938144329896907,0.978947368421053,0.88,0.883495145631068,0.898989898989899
"6.28.2021-CSD-23",0.509433962264151,0.666666666666667,0.726618705035971,0.650793650793651,0.724137931034483,0.784615384615385,0.578947368421053,0.586206896551724,0.68421052631579,0.712328767123288,0.714285714285714,0.777777777777778,0.720430107526882,0.677966101694915,0,0.764705882352941,0.92,0.774193548387097,0.666666666666667,0.737704918032787,0.92,1,0.925925925925926,0.705882352941177,0.92,0.851851851851852,0.705882352941177,0.92,0.851851851851852,0.925925925925926,0.92,0.8,0.818181818181818,0.793103448275862
"6.28.2021-CSD-9",0.641025641025641,0.941176470588235,0.856,0.714285714285714,0.681818181818182,0.686274509803922,0.953488372093023,0.772727272727273,0.916666666666667,0.863636363636364,0.714285714285714,0.545454545454545,0.848101265822785,0.807692307692308,0.764705882352941,0,0.818181818181818,0.918604651162791,0.941176470588235,0.787234042553192,0.818181818181818,1,1,0.7,1,1,0.6,1,0.538461538461538,0.538461538461538,0.818181818181818,0.75,1,1
"6.28.21-CSC-2",0.933333333333333,1,0.982758620689655,0.95,0.942857142857143,0.952380952380952,0.941176470588235,0.942857142857143,1,0.983739837398374,1,0.846153846153846,0.971428571428571,0.978947368421053,0.92,0.818181818181818,0,0.987730061349693,1,0.947368421052632,1,1,1,0.818181818181818,1,1,0.818181818181818,1,0.5,0.5,0,0.714285714285714,1,1
"6.28.22-CSD-1",0.842931937172775,0.774193548387097,0.350180505415162,0.761194029850746,0.744897959183674,0.763546798029557,0.815384615384615,0.775510204081633,0.897727272727273,0.457746478873239,0.942196531791908,0.896551724137931,0.558441558441558,0.65625,0.774193548387097,0.918604651162791,0.987730061349693,0,0.795698924731183,0.869346733668342,0.987730061349693,0.976744186046512,0.975757575757576,0.895348837209302,0.987730061349693,0.987878787878788,0.930232558139535,0.987730061349693,0.975757575757576,0.963636363636364,0.987730061349693,0.94047619047619,0.964912280701754,0.940119760479042
"6.29.22-CSD-10",0.735849056603774,0.666666666666667,0.755395683453237,0.777777777777778,0.896551724137931,0.969230769230769,0.68421052631579,0.448275862068966,0.68421052631579,0.712328767123288,0.771428571428571,0.888888888888889,0.763440860215054,0.76271186440678,0.666666666666667,0.941176470588235,1,0.795698924731183,0,0.934426229508197,1,0.941176470588235,1,0.941176470588235,0.92,1,0.764705882352941,1,0.925925925925926,1,1,0.866666666666667,0.93939393939394,0.655172413793103
"6.29.22-CSD-4",0.818181818181818,0.868852459016393,0.81578947368421,0.842105263157895,0.71830985915493,0.692307692307692,0.542857142857143,0.830985915492958,0.803921568627451,0.836477987421384,1,0.836734693877551,0.830188679245283,0.786259541984733,0.737704918032787,0.787234042553192,0.947368421052632,0.869346733668342,0.934426229508197,0,0.947368421052632,0.957446808510638,0.95,0.914893617021277,1,1,0.787234042553192,1,0.9,0.85,0.947368421052632,0.813953488372093,0.869565217391304,1
